DATE,GEO,CATEGORY,VALUE
2020-07-01,"Sherbrooke, Quebec",house,104
2020-07-01,"St. Catharines-Niagara, Ontario",house,110.5
2020-07-01,"St. John's, Newfoundland and Labrador",house,96.9
2020-07-01,"Toronto, Ontario",house,103.1
2020-07-01,"Trois-Rivières, Quebec",house,103.5
2020-07-01,"Vancouver, British Columbia",house,107.8
2020-07-01,"Victoria, British Columbia",house,102.6
2020-07-01,"Windsor, Ontario",house,109.4
2020-07-01,"Winnipeg, Manitoba",house,106
2020-08-01,Alberta,house,96.7
2020-08-01,Atlantic Region,house,102.9
2020-08-01,British Columbia,house,108.1
2020-08-01,"Calgary, Alberta",house,96.2
2020-08-01,Canada,house,105.2
2020-08-01,"Charlottetown, Prince Edward Island",house,102.6
2020-08-01,"Edmonton, Alberta",house,97.2
2020-08-01,"Greater Sudbury, Ontario",house,103.5
2020-08-01,"Guelph, Ontario",house,110.3
2020-08-01,"Halifax, Nova Scotia",house,107.1
2020-08-01,"Hamilton, Ontario",house,108
2020-08-01,"Kelowna, British Columbia",house,105.1
2020-08-01,"Kitchener-Cambridge-Waterloo, Ontario",house,112.3
2020-08-01,"London, Ontario",house,117.3
2020-08-01,Manitoba,house,106.9
2020-08-01,"Montréal, Quebec",house,115.5
2020-08-01,New Brunswick,house,103.2
2020-08-01,Newfoundland and Labrador,house,96.9
2020-08-01,Nova Scotia,house,107.1
2020-08-01,Ontario,house,107.7
2020-08-01,"Oshawa, Ontario",house,105.7
2020-08-01,"Ottawa-Gatineau, Ontario part, Ontario/Quebec",house,127.3
2020-08-01,"Ottawa-Gatineau, Quebec part, Ontario/Quebec",house,107.9
2020-08-01,Prairie Region,house,97.6
2020-08-01,Prince Edward Island,house,102.6
2020-08-01,Quebec,house,111.8
2020-08-01,"Québec, Quebec",house,102.7
2020-08-01,"Regina, Saskatchewan",house,92.4
2020-08-01,"Saint John, Fredericton, and Moncton, New Brunswick",house,103.2
2020-08-01,Saskatchewan,house,95
2020-08-01,"Saskatoon, Saskatchewan",house,96.6
2020-08-01,"Sherbrooke, Quebec",house,104
2020-08-01,"St. Catharines-Niagara, Ontario",house,110.5
2020-08-01,"St. John's, Newfoundland and Labrador",house,96.9
2020-08-01,"Toronto, Ontario",house,103.4
2020-08-01,"Trois-Rivières, Quebec",house,103.7
2020-08-01,"Vancouver, British Columbia",house,108.9
2020-08-01,"Victoria, British Columbia",house,103
2020-08-01,"Windsor, Ontario",house,109.9
2020-08-01,"Winnipeg, Manitoba",house,106.9
2020-09-01,Alberta,house,97.1
2020-09-01,Atlantic Region,house,104
2020-09-01,British Columbia,house,110.2
2020-09-01,"Calgary, Alberta",house,96.6
2020-09-01,Canada,house,106.5
2020-09-01,"Charlottetown, Prince Edward Island",house,104.7
2020-09-01,"Edmonton, Alberta",house,97.5
2020-09-01,"Greater Sudbury, Ontario",house,103.7
2020-09-01,"Guelph, Ontario",house,112.2
2020-09-01,"Halifax, Nova Scotia",house,108
2020-09-01,"Hamilton, Ontario",house,110.5
2020-09-01,"Kelowna, British Columbia",house,105.4
2020-09-01,"Kitchener-Cambridge-Waterloo, Ontario",house,113.1
2020-09-01,"London, Ontario",house,117.8
2020-09-01,Manitoba,house,108.7
2020-09-01,"Montréal, Quebec",house,116.5
2020-09-01,New Brunswick,house,104.2
2020-09-01,Newfoundland and Labrador,house,98
2020-09-01,Nova Scotia,house,108
2020-09-01,Ontario,house,108.8
2020-09-01,"Oshawa, Ontario",house,106.3
2020-09-01,"Ottawa-Gatineau, Ontario part, Ontario/Quebec",house,130.1
2020-09-01,"Ottawa-Gatineau, Quebec part, Ontario/Quebec",house,108.9
2020-09-01,Prairie Region,house,98
2020-09-01,Prince Edward Island,house,104.7
2020-09-01,Quebec,house,112.7
2020-09-01,"Québec, Quebec",house,103.2
2020-09-01,"Regina, Saskatchewan",house,92.1
2020-09-01,"Saint John, Fredericton, and Moncton, New Brunswick",house,104.2
2020-09-01,Saskatchewan,house,94.8
2020-09-01,"Saskatoon, Saskatchewan",house,96.4
2020-09-01,"Sherbrooke, Quebec",house,104
2020-09-01,"St. Catharines-Niagara, Ontario",house,111.1
2020-09-01,"St. John's, Newfoundland and Labrador",house,98
2020-09-01,"Toronto, Ontario",house,104.2
2020-09-01,"Trois-Rivières, Quebec",house,105.3
2020-09-01,"Vancouver, British Columbia",house,111.1
2020-09-01,"Victoria, British Columbia",house,105.6
2020-09-01,"Windsor, Ontario",house,111.9
2020-09-01,"Winnipeg, Manitoba",house,108.7
2020-10-01,Alberta,house,97.4
2020-10-01,Atlantic Region,house,105
2020-10-01,British Columbia,house,111.5
2020-10-01,"Calgary, Alberta",house,97
2020-10-01,Canada,house,107.3
2020-10-01,"Charlottetown, Prince Edward Island",house,104.7
2020-10-01,"Edmonton, Alberta",house,97.8
2020-10-01,"Greater Sudbury, Ontario",house,104.2
2020-10-01,"Guelph, Ontario",house,113.2
2020-10-01,"Halifax, Nova Scotia",house,109.3
2020-10-01,"Hamilton, Ontario",house,110.5
2020-10-01,"Kelowna, British Columbia",house,105.4
2020-10-01,"Kitchener-Cambridge-Waterloo, Ontario",house,114.9
2020-10-01,"London, Ontario",house,117.9
2020-10-01,Manitoba,house,108.8
2020-10-01,"Montréal, Quebec",house,119.7
2020-10-01,New Brunswick,house,104.2
2020-10-01,Newfoundland and Labrador,house,100
2020-10-01,Nova Scotia,house,109.3
2020-10-01,Ontario,house,109.5
2020-10-01,"Oshawa, Ontario",house,106.3
2020-10-01,"Ottawa-Gatineau, Ontario part, Ontario/Quebec",house,131.3
2020-10-01,"Ottawa-Gatineau, Quebec part, Ontario/Quebec",house,109.8
2020-10-01,Prairie Region,house,98.3
2020-10-01,Prince Edward Island,house,104.7
2020-10-01,Quebec,house,115.2
2020-10-01,"Québec, Quebec",house,103.6
2020-10-01,"Regina, Saskatchewan",house,92.5
2020-10-01,"Saint John, Fredericton, and Moncton, New Brunswick",house,104.2
2020-10-01,Saskatchewan,house,95.3
2020-10-01,"Saskatoon, Saskatchewan",house,96.9
2020-10-01,"Sherbrooke, Quebec",house,104
2020-10-01,"St. Catharines-Niagara, Ontario",house,113.5
2020-10-01,"St. John's, Newfoundland and Labrador",house,100
2020-10-01,"Toronto, Ontario",house,104.8
2020-10-01,"Trois-Rivières, Quebec",house,107.6
2020-10-01,"Vancouver, British Columbia",house,112.5
2020-10-01,"Victoria, British Columbia",house,105.8
2020-10-01,"Windsor, Ontario",house,112.9
2020-10-01,"Winnipeg, Manitoba",house,108.8
2020-11-01,Alberta,house,97.8
2020-11-01,Atlantic Region,house,105.6
2020-11-01,British Columbia,house,111.8
2020-11-01,"Calgary, Alberta",house,97.3
2020-11-01,Canada,house,107.9
2020-11-01,"Charlottetown, Prince Edward Island",house,106.5
2020-11-01,"Edmonton, Alberta",house,98.4
2020-11-01,"Greater Sudbury, Ontario",house,104.2
2020-11-01,"Guelph, Ontario",house,114.4
